date,network,daypart,viewers
201406,E,"S,Su 1:00 PM - 8:00 PM",537
201406,A,"M,T,W,R,F 6:00 AM - 10:00 AM",124
201406,B,"M,T,W,R,F 6:00 AM - 10:00 AM",229
201406,C,"M,T,W,R,F 6:00 AM - 10:00 AM",216
201406,D,"M,T,W,R,F 6:00 AM - 10:00 AM",138
201406,E,"M,T,W,R,F 6:00 AM - 10:00 AM",134
201406,A,"M,T,W,R,F 10:00 AM - 1:00 PM",154
201406,B,"M,T,W,R,F 10:00 AM - 1:00 PM",338
201406,C,"M,T,W,R,F 10:00 AM - 1:00 PM",435
201406,D,"M,T,W,R,F 10:00 AM - 1:00 PM",146
201406,E,"M,T,W,R,F 10:00 AM - 1:00 PM",250
201406,A,"M,T,W,R,F 1:00 PM - 4:00 PM",180
201406,B,"M,T,W,R,F 1:00 PM - 4:00 PM",352
201406,C,"M,T,W,R,F 1:00 PM - 4:00 PM",546
201406,D,"M,T,W,R,F 1:00 PM - 4:00 PM",117
201406,E,"M,T,W,R,F 1:00 PM - 4:00 PM",328
201406,A,"M,T,W,R,F 4:00 PM - 6:00 PM",199
201406,B,"M,T,W,R,F 4:00 PM - 6:00 PM",364
201406,C,"M,T,W,R,F 4:00 PM - 6:00 PM",642
201406,D,"M,T,W,R,F 4:00 PM - 6:00 PM",126
201406,E,"M,T,W,R,F 4:00 PM - 6:00 PM",390
201406,A,"M,T,W,R,F 6:00 PM - 8:00 PM",276
201406,B,"M,T,W,R,F 6:00 PM - 8:00 PM",508
201406,C,"M,T,W,R,F 6:00 PM - 8:00 PM",737
201406,D,"M,T,W,R,F 6:00 PM - 8:00 PM",178
201406,E,"M,T,W,R,F 6:00 PM - 8:00 PM",469
201406,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",654
201406,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",979
201406,C,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1303
201406,D,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",469
201406,E,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",987
201406,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",458
201406,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",554
201406,C,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",955
201406,D,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",316
201406,E,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",633
201406,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",238
201406,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",298
201406,C,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",458
201406,D,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",182
201406,E,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",305
201406,A,"S,Su 6:00 AM - 8:00 AM",121
